extracted genus,extracted species,extracted/literature/genus,actual species,actual genus,genbank version number,voucher,sequence length
Consolea,millspaughii,genus,Consolea,rubescens,JF786719.1,"DBG:0390",896
Consolea,moniliformis,extracted,Consolea,moniliformis,JF786716.1,"3909",891
Consolea,nashii,extracted,Consolea,nashii,JF786718.1,"DBG:0257",896
Leptocereus,quadricostatus,extracted,Leptocereus,quadricostatus,KF783845.1,"Arias 1464 (MEXU)",794
Mammillaria,albilanata,genus,Mammillaria,lenta,MK449047.1,,787
Nopalea,cochinellifera,literature,Nopalea,cochenillifera,JF786728.1,"2789",900
Opuntia,abjecta,extracted,Opuntia,abjecta,JF786865.1,"LCM 3908",913
Opuntia,acaulis,extracted,Opuntia,acaulis,JF786738.1,"DBG:0360",910
Opuntia,ammophila,extracted,Opuntia,humifusa,JF786739.1,"2753",908
Opuntia,austrina,extracted,Opuntia,austrina,JF786747.1,"3450",902
Opuntia,cespitosa,extracted,Opuntia,cespitosa,JF786759.1,"1380",910
Opuntia,dillenii,extracted,Opuntia,dillenii,JF786854.1,"3220",913
Opuntia,lata,extracted,Opuntia,mesacantha,MH551942.1,"FLAS:Majure 5000",753
Opuntia,macrorhiza,extracted,Opuntia,macrorhiza,JF786802.1,"3510",908
Opuntia,nemoralis,genus,Opuntia,sp.,JF786866.1,"0155",912
Opuntia,pusilla,extracted,Opuntia,pusilla,JF786828.1,"1091",911
Opuntia,tortispina,extracted,Opuntia,tortispina,JF786864.1,"3533",913
Opuntia,xanthoglochia,genus,Opuntia,boldinghii,JF786753.1,"DBG:0391",908
Pachycereus,pringlei,extracted,Pachycereus,pringlei,KF783839.1,"Arias 1348 (CHAPA)",794
Arenaria,bolosii,genus,Arenaria,humifusa,JN966116.1,"09PROBE-05027",776
Cerastium,alpinum,extracted,Cerastium,alpinum,MK925805.1,"NBGW8029",803
Cerastium,arvense,extracted,Cerastium,arvense,FJ404828.1,"M. Nepokroeff 921",788
Cerastium,banaticum,genus,Cerastium,fontanum,KX821261.1,"THY50",792
Cerastium,malyi,genus,Cerastium,beeringianum,JN966225.1,"09PROBE-05090",771
Cerastium,neoscardicum,genus,Cerastium,regelii,KC474455.1,"Aiken_98-038_CAN",771
Dianthus,arenarius,genus,Dianthus,benearnensis,GU441124.1,,869
Dianthus,carthusianorum,extracted,Dianthus,carthusianorum,JN589238.1,,898
Lychnis,flos-cuculi,extracted,Silene,flos-cuculi,JN896000.1,,797
Minuartia,hybrida,extracted,Sabulina,tenuifolia,JN895268.1,,837
Minuartia,juniperina,genus,Minuartia,urumiensis,KF737651.1,"Sorger 70-8-32 (W 1991-00492)",795
Petrohagia,saxifraga,literature,Petrorhagia,saxifraga,FJ404857.1,"S. Downie 1069",1156
Polycarpon,colomense,literature,Polycarpon,tetraphyllum,MF963465.1,"JEPS118324",898
Saponaria,officinalis,extracted,Saponaria,officinalis,KY952507.1,"Michael J. Moore et al. 1819 (OC)",917
Silene,aegyptiaca,genus,Silene,multinervia,HQ334919.1,"Jake Ruygt 4882",851
Silene,ciliata,genus,Silene,lydia,HQ334918.1,"E. Ljungstrand 2008-09-20 GB",816
Silene,mollisima,genus,Silene,turkestanica,FN821195.1,"MW<RUS>:K. Kiseleva 20.VI.1970",785
Silene,nutans,extracted,Silene,nutans,AF542598.1,,810
Silene,palaestina,genus,Silene,uralensis,KC475913.1,"Brunton_10655_CAN",774
Silene,paradoxa,genus,Silene,involucrata,JN966672.1,"09PROBE-05835",767
Silene,vulgaris,extracted,Silene,vulgaris,EU749399.1,"OAC:AP110",818
Stellaria,media,extracted,Stellaria,media,FJ404877.1,"M. Nepokroeff s.n.",903
Viscaria,vulgaris,extracted,Viscaria,vulgaris,JN895288.1,,753
Claytonia,parviflora,genus,Claytonia,sibirica,KY952363.1,"Arianna Goodman 2 (OC)",928
Claytonia,perfoliata,extracted,Claytonia,perfoliata,KF995400.1,"MJG 013396",855
Claytonia,rubra,extracted,Claytonia,rubra,KX677466.1,"MF15",786
Limonium,algarvense,extracted,Limonium,algarvense,MH582955.1,"M.M. Romeiras 401 (LISC)",823
Limonium,binervosum,genus,Limonium,gmelinii,MH582844.1,"K. Ildeniz & F. Celep 3943 (GAZI)",823
Limonium,dodartii,extracted,Limonium,dodartii,MH582921.1,"K. Koutroumpa 1011 (Z)",823
Limonium,lanceolatum,extracted,Limonium,lanceolatum,MH582957.1,"M.M. Romeiras 439 (LISC)",823
Limonium,multiflorum,extracted,Limonium,multiflorum,MH582936.1,"M. M. Romeiras 422 (LISC)",823
Limonium,nydeggeri,extracted,Limonium,nydeggeri,MH582959.1,"K. Koutroumpa 1019 (Z)",823
Limonium,ovalifolium,extracted,Limonium,ovalifolium,MH582960.1,"K. Koutroumpa 1021 (Z)",823
Limonium,vulgare,extracted,Limonium,vulgare,JN895287.1,,774
Fallopia,×bohemica,genus,Fallopia,dentatoalata,HM357914.1,"CPU:L.Q. Zhao 0891",1168
Fallopia,dumetorum,extracted,Fallopia,dumetorum,HM357920.1,"CPU:L.Q. Zhao 0894",1168
Fallopia,japonica,extracted,Reynoutria,japonica,KM212074.1,"NC2012_496",766
Fallopia,sachalinensis,extracted,Fallopia,sachalinensis,KJ863097.1,,1200
Polygonum,aviculare,extracted,Polygonum,aviculare,HM357913.1,"CPU:X. H. Meng 0941",1166
Polygonum,romanum,genus,Polygonum,salicornioides,AB976676.1,"TARI<IRN>:52464",1134
Polypodium,australe,literature,Polypodium,cambricum,HE970727.1,"MIB:ZPL:03985",802
Portulaca,cypria,genus,Portulaca,bicolor,DQ855848.1,"P. I. Forster 26799; herb. BRI",1169
Portulaca,edulis,genus,Portulaca,pilosa,MF159395.1,"Li ZY, Jin XH, Xu SZ 13359",1060
Portulaca,grandiflora,extracted,Portulaca,grandiflora,JN114769.1,"SBB-1134",750
Portulaca,granulatostellulata,genus,Portulaca,halimoides,MF963696.1,"RSA809647",904
Portulaca,granulatostellulata-papillatostellulata,genus,Portulaca,sp.,AY042636.1,"Chase 10983",848
Portulaca,granulatostellulata-zaffranii,genus,Portulaca,oleracea,AF204867.1,,1131
Euonymus,europaeus,extracted,Euonymus,europaeus,HQ393821.1,"M.P. Simmons 1779, cult. Ithaca, New York (BH)",1210
Euonymus,verrucosus,genus,Euonymus,australianus,HQ393819.1,"A. Ford 4496, Australia (BRI)",1248
Euphorbia,fontqueriana,genus,Euphorbia,polyacantha,AY491656.1,"Chase 102 (NCU)",1095
Euphorbia,paralias,extracted,Euphorbia,paralias,JN894287.1,,836
Euphrasia,minimus,genus,Euphrasia,campbellae,MK925769.1,"RBGE303",874
Callisia,graminea,genus,Callisia,fragrans,GU135072.1,"J.R. Abbott 25259 (FLAS)",805
Cornus,sanguinea,extracted,Cornus,sanguinea,KX229869.1,"OMHC22M",845
Lagenaria,siceraria,extracted,Lagenaria,siceraria,DQ536694.1,"cult. Missouri BG, 2002",1055
Dioscorea,deltoidea,extracted,Dioscorea,deltoidea,EF614207.1,"Huang & Guo 200212110 (NAS)",1041
Dioscorea,orientalis,extracted,Dioscorea,orientalis,KM877858.1,,864
Sambucus,nigra,extracted,Sambucus,nigra,KX230005.1,"OMHD01M",839
Sambucus,racemosa,extracted,Sambucus,racemosa,AY265204.1,"T. Eriksson s.n.",1142
Viburnum,lantana,extracted,Viburnum,lantana,AY265180.1,"Donoghue & Winkworth 26",1146
Viburnum,opulus,extracted,Viburnum,opulus,AY265188.1,"Donoghue & Winkworth 32",1146
Centranthus,longiflorus,genus,Centranthus,sieberi,DQ354179.1,"MAICH 6083. (YU)",1052
Centranthus,ruber,extracted,Centranthus,ruber,HM850890.1,"BM 2008/513",819
Dipsacus,pilosus,extracted,Dipsacus,pilosus,AY290030.1,,1096
Knautia,arvensis,extracted,Knautia,arvensis,KX677041.1,"HERB0197",814
Lonicera,caerulea,extracted,Lonicera,caerulea,KU673053.1,"Lca_5271",1173
Lonicera,caprifola,genus,Lonicera,fulvotomentosa,HM228466.1,"PS1743MT04",892
Scabiosa,canescens,genus,Scabiosa,tschiliensis,MH714118.1,"Ge130715",845
Scabiosa,cinerea,genus,Scabiosa,atropurpurea,HM851088.1,"BM 2008/376",813
Scabiosa,columbaria,extracted,Scabiosa,columbaria,KJ204535.1,"G00199088",802
Succisa,pratensis,extracted,Succisa,pratensis,FJ745401.1,"N. Pyck 1975-2365",878
Valeriana,discoridis,genus,Valeriana,clematitis,JF269469.1,"Ahumada & Ahumada 8282 (SI)",1161
Valeriana,montana,extracted,Valeriana,montana,AY362536.1,,1161
Valeriana,officinalis,extracted,Valeriana,officinalis,KP210446.1,"TJD-282",801
Valerianella,dactylophylla,genus,Valerianella,carinata,DQ354180.1,"Cellinese 1001 (YU)",1079
Actinidia,chinensis,extracted,Actinidia,chinensis,AY491644.1,"Chase 235 (K)",1157
Empetrum,hermaphroditum,extracted,Empetrum,nigrum,KT307920.1,"MLTV07",759
Erica,herbacea,literature,Erica,carnea,AY517908.1,"David Small s.n.",809
Erica,manipuliflora,extracted,Erica,manipuliflora,AY517916.1,"David Small s.n.",794
Erica,sicula,genus,Erica,mackaiana,KP737781.1,"Sahuquillo Balbuena, E. K 62856 (SANT)",771
Rhododendron,ponticum,genus,Rhododendron,tomentosum,JN966498.1,"09PROBE-05057",771
Vaccinium,uliginosum,extracted,Vaccinium,uliginosum,JN966729.1,"09PROBE-05018",771
Phlox,amabilis,genus,Phlox,glaberrima,EU628515.1,"NCSC<USA-NC>:Coile 2989",1074
Phlox,woodhousei,genus,Phlox,subulata,MK520414.1,"v0249140WIS",782
Anagallis,foemina,extracted,Anagallis,foemina,HM850731.1,"BM 2008/175",804
Lysimachia,minoricensis,extracted,Lysimachia,minoricensis,MG950478.1,"Anderberg s.n.(cult.1993)",797
Primula,borealis,extracted,Primula,borealis,KC475519.1,"Elven_2336-9_CAN",766
Primula,egaliksensis,extracted,Primula,egaliksensis,JN966472.1,"09PROBE-05004",780
Primula,farinosaa,literature,Primula,farinosa,MK925990.1,"NMW7545",838
Primula,halleri,extracted,Primula,halleri,KF907903.1,"Z:De Vos s.n.",871
Primula,mistassinica,extracted,Primula,mistassinica,MK520492.1,"v0253016WIS",782
Primula,nutans,extracted,Primula,nutans,KT259521.1,,892
Primula,scotica,extracted,Primula,scotica,KF907902.1,"Z:De Vos s.n.",1042
Primula,vulgaris,extracted,Primula,vulgaris,HQ619829.1,,892
Styrax,officinalis,genus,Styrax,redivivus,MF963616.1,"UC1973204(HV)",898
Acacia,senegal,extracted,Senegalia,senegal,FJ711542.1,"RFsp2d",774
Acacia,tortilis,extracted,Vachellia,tortilis,JX517619.1,"RL1337",787
Anthyllis,hystrix,genus,Anthyllis,vulneraria,JN894822.1,,934
Arachis,appressipila,genus,Arachis,triseminata,AF203599.1,"CIAT 22224 (MONT)",997
Arachis,batizocoi,genus,Arachis,hypogaea,MH428817.1,,870
Arachis,cardenasii,genus,Arachis,duranensis,MH428816.1,,856
Arachis,dardani,genus,Arachis,monticola,MH428814.1,,853
Astragalus,angulosus,genus,Astragalus,zarjabadensis,AB741350.1,"TARI:80125",939
Astragalus,balearicus,genus,Astragalus,victoriae,AB741349.1,"MSB:47340",939
Astragalus,berytheus,extracted,Astragalus,berytheus,KX955210.1,"M:1970",805
Astragalus,bethlehemiticus,genus,Astragalus,urmiensis,AB741348.1,"TARI:55137",939
Astragalus,dictyocarpus,genus,Astragalus,turbinatus,AB741347.1,"TARI:67570",939
Astragalus,ehdenensis,genus,Astragalus,tawilicus,AB741346.1,"TARI:59351",939
Astragalus,ehrenbergii,genus,Astragalus,stocksii,AB741345.1,"TARI:10802",939
Astragalus,hirsutissimus,genus,Astragalus,speciosus,AB741344.1,"TARI:51720",939
Astragalus,pinetorum,genus,Astragalus,sieversianus,AB741343.1,"TARI:50669",939
Astragalus,schizopterus,extracted,Astragalus,schizopterus,KM387635.1,,1191
Astragalus,sofarensis,genus,Astragalus,schahrudensis,AB741342.1,"TARI:12702",939
Bauhinia,florficata,literature,Bauhinia,forficata,KM392245.1,,825
Cercis,candensis,genus,Cercis,chinensis,MH659624.1,"Q181",811
Chamaecytisus,hirsutus,genus,Chamaecytisus,prolifer,KJ747668.1,"ORT 41129",851
Coronilla,varia,literature,Securigera,varia,HM049547.1,"PS0311MT01",818
Genista,acanthoclada,genus,Genista,anglica,KT987758.1,"FCO-35782",859
Genista,ovata,literature,Genista,tinctoria,JN894664.1,,907
Genista,pilosa,extracted,Genista,pilosa,JN894665.1,,863
Hippocrepis,balearica,genus,Hippocrepis,comosa,JN894094.1,,800
Lathyrus,latifolius,extracted,Lathyrus,latifolius,KX677175.1,"HERB0290",821
Lathyrus,pannonicus,extracted,Lathyrus,pannonicus,JX505808.1,"N. Stojanoff s.n. (GH)",865
Lotus,angustissimus,extracted,Lotus,angustissimus,HM851122.1,"BM 2008/626",813
Lotus,australis,genus,Lotus,burttii,KM372672.1,"Ojeda 72",867
Lotus,burttii,genus,Lotus,tenuis,JN893921.1,,930
Lotus,conjugatus,genus,Lotus,latifolius,KM372713.1,,867
Lotus,corniculatus,extracted,Lotus,corniculatus,KM372674.1,"Ojeda 46",867
Lotus,denticulatus,literature,Acmispon,denticulatus,KX676513.1,"HERB0255",814
Lotus,gebelia,genus,Lotus,holosericeus,KM372704.1,,867
Lotus,halophilus,genus,Lotus,glaucus,KM372698.1,,867
Lotus,heermannii,genus,Lotus,pyranthus,KM372739.1,,867
Lotus,japonicus,extracted,Lotus,japonicus,KM372671.1,"Ojeda 69",867
Lotus,subbiflorus,extracted,Lotus,subbiflorus,JN893889.1,,932
Lotus,uliginosus,extracted,Lotus,uliginosus,KX677074.1,"HERB0301",821
Lotus,unifoliolatus,extracted,Lotus,unifoliolatus,MK520279.1,"v0257748WIS",775
Melilotus,albus,extracted,Melilotus,albus,HQ593364.1,"AP208",786
Melilotus,officinalis,extracted,Melilotus,officinalis,HE970723.1,"MIB:ZPL:03401",805
Ononis,adenotricha,genus,Ononis,vaginalis,KX789383.1,"M257",803
Ononis,crispa,genus,Ononis,repens,JN894068.1,,931
Trifolium,pratense,extracted,Trifolium,pratense,KP210443.1,"TJD-166",839
Trifolium,repens,extracted,Trifolium,repens,KX676585.1,"HERB0331",811
Vicia,bifoliolata,literature,Vicia,filicaulis,JX505866.1,"A. Santos-Guerra 38659 (ORT)",861
Vicia,canescens,genus,Vicia,ervilia,AB935095.1,"FUMH:36169",1059
Vicia,cracca,extracted,Vicia,cracca,KX677490.1,"HERB0339",821
Vicia,narbonensis,genus,Vicia,hyrcanica,AB935096.1,"FUMH:38986",1050
Vicia,sativa,extracted,Vicia,sativa,JX505898.1,"H. Schaefer 2012/06 (GH)",973
Vicia,villosa,extracted,Vicia,villosa,JX505914.1,"R. Convey & P. Hind 10755 (GH)",865
Alnus,glutinosa,extracted,Alnus,glutinosa,KF419025.1,"Feng M 967024",1165
Alnus,incana,extracted,Alnus,incana,KF419026.1,"Chen ZD 0712",1164
Betula,hybrids,genus,Betula,glandulosa,KF419037.1,"Xia K et Zhou ZK 200814",1069
Betula,nana,extracted,Betula,nana,MK926363.1,"RBGE185",816
Betula,pubescens,extracted,Betula,pubescens,KX229860.1,"OMHA12M",839
Corylus,avellana,extracted,Corylus,avellana,AF297381.1,"404.042 (Oregon State University Smith Horticulture Research Farm)",1231
Ostrya,carpinifolia,extracted,Ostrya,carpinifolia,AY212004.1,"A1295-83-13 (Arnold Arboretum)",1021
Castanopsis,calathiformis,extracted,Castanopsis,calathiformis,KR530533.1,,750
Castanopsis,echinocarpa,extracted,Castanopsis,echinocarpa,KJ510908.1,,816
Castanopsis,fleuryi,extracted,Castanopsis,fleuryi,KR530539.1,,750
Castanopsis,hystrix,extracted,Castanopsis,hystrix,KJ510907.1,,777
Castanopsis,mekongensis,extracted,Castanopsis,mekongensis,KR530548.1,,750
Castanopsis,wattii,extracted,Castanopsis,wattii,KJ510909.1,,858
Fagus,sylvatica,extracted,Fagus,sylvatica,KF419012.1,"Zhou ZK 200802",919
Lithocarpus,bacgiangensis,extracted,Lithocarpus,bacgiangensis,KR531050.1,,750
Lithocarpus,calolepis,genus,Lithocarpus,sp.,LC331649.1,"FU<JPN>:V3260",924
Lithocarpus,corneus,genus,Lithocarpus,vuquangensis,LC319670.1,"FU<JPN>:V5743",916
Lithocarpus,crassifolius,genus,Lithocarpus,dahuoaiensis,LC318551.1,"FU<JPN>:V3194",916
Lithocarpus,dealbatus,genus,Lithocarpus,gigantophyllus,LC318538.1,"FU<JPN>:V3185",914
Lithocarpus,fenestratus,genus,Lithocarpus,pseudomagneinii,LC318541.1,"FU<JPN>:V3223",906
Lithocarpus,grandifolius,extracted,Lithocarpus,grandifolius,KR531053.1,,750
Lithocarpus,hancei,extracted,Lithocarpus,hancei,LC318970.1,"FU<JPN>:V5111",895
Lithocarpus,skanianus,genus,Lithocarpus,stenopus,LC318539.1,"FU<JPN>:V3187",903
Lithocarpus,truncatus,extracted,Lithocarpus,truncatus,KR531054.1,,750
Quercus,cerris,extracted,Quercus,cerris,FN675341.1,,828
Quercus,frainetto,extracted,Quercus,frainetto,FN675330.1,,828
Quercus,griffithii,extracted,Quercus,griffithii,KX824842.1,,769
Quercus,hui,literature,Quercus,auricoma,LC318499.1,"FU<JPN>:V3138",900
Quercus,petraea,extracted,Quercus,petraea,HQ619814.1,,837
Quercus,robur,extracted,Quercus,robur,KX229982.1,"OMHC18M",839
Quercus,variabilis,extracted,Quercus,variabilis,MH659551.1,"Q101",796
Vinca,libanotica,genus,Vinca,minor,KX911166.1,"yangApY079",1064
Centaurium,bianoris,literature,Centaurium,discolor,MK325304.1,"BCN-2017",845
Centaurium,erythraea,extracted,Centaurium,erythraea,KJ204456.1,"G00199142",854
Gentiana,aristata,extracted,Gentiana,aristata,KT280209.1,,753
Gentiana,asclepiadea,genus,Gentiana,nivalis,EF552124.1,"MH03.8.1.1",949
Gentiana,crassicaulis,extracted,Gentiana,crassicaulis,KC861278.1,"xuechy090113",774
Gentiana,crassuloides,genus,Gentiana,pumila,EF552120.1,"MH02.8.17.1",949
Gentiana,crenulatotruncata,genus,Gentiana,utriculosa,EF552119.1,"MH04.7.6.2",949
Gentiana,haynaldii,genus,Gentiana,tergestina,EF552108.1,"MH04.7.1.2",943
Gentiana,heleonastes,genus,Gentiana,schleicheri,EF552107.1,"MH03.6.2.2",943
Gentiana,ihassica,genus,Gentiana,prostrata,EF552126.1,"RD00.7.30.1",943
Gentiana,leucomelaena,genus,Gentiana,acaulis,EF552125.1,"MH04.10.2.1",943
Gentiana,mairei,genus,Gentiana,brachyphylla,EF552117.1,"MH02.6.26.4",943
Gentiana,pantheica,genus,Gentiana,bavarica,EF552115.1,"MH03.6.27.1",943
Gentiana,piasezkii,genus,Gentiana,rostanii,EF552114.1,"MH02.6.25.2",943
Gentiana,pseudoaquatica,genus,Gentiana,verna,EF552112.1,"AT03.8.5.1",943
Gentiana,squarrosa,extracted,Gentiana,squarrosa,MF158647.1,,779
Gentiana,straminea,extracted,Gentiana,straminea,KC861282.1,"xuechy0065",774
Cruciata,glabra,genus,Cruciata,laevipes,JN894637.1,,852
Galium,anisophyllon,genus,Galium,antarcticum,MG947024.1,"K:Briggs 210",1211
Erodium,gaillardotii,genus,Erodium,moschatum,HM850905.1,"BM 2008/49",813
Erodium,reichardii,genus,Erodium,cicutarium,HM850903.1,"BM 2008/762",813
Adenocalymma,divaricatum,genus,Adenocalymma,bracteatum,MH024723.1,"3776",915
Cuspidaria,lateriflora,genus,Cuspidaria,sceptrum,MH024724.1,"1369",914
Dolichandra,quadrivalvis,genus,Dolichandra,unguis-cati,MH551934.1,"FLAS:Majure 4992",753
Lundia,longa,genus,Lundia,glazioviana,MH024727.1,"1083",917
Taraxacum,officinale,extracted,Taraxacum,officinale,MG947034.1,"K:Gowing OU 038",1174
Taraxacum,platycarpum,extracted,Taraxacum,platycarpum,LC530259.1,,786
Taraxacum,venustum,genus,Taraxacum,erythrospermum,AJ633160.1,"GAT-bg258",970
Xylophragma,myrianthum,genus,Xylophragma,pratense,MH024780.1,"7200",870
Ajuga,chamaepitys,extracted,Ajuga,chamaepitys,MK926190.1,"NMW7677",835
Clinopodium,rouyanum,genus,Clinopodium,vulgare,JF357822.1,"M Chase 10492(K)",832
Lamium,amplexicaule,extracted,Lamium,amplexicaule,JF779865.1,"P. W. Leenhouts 3568 (O)",1141
Lamium,argentatum,literature,Lamium,galeobdolon,JF779870.1,"M. Bendiksby 05-015 (O)",1141
Lamium,moschatum,extracted,Lamium,moschatum,JF779873.1,"S. Linder s.n., 4.11.1912 (UPS)",1141
Lamium,orvala,extracted,Lamium,orvala,JF779875.1,"N. Lundqvist 7702 (UPS)",1136
Lamium,striatum,extracted,Lamium,garganicum,KF188558.1,"(TUR) 248768",786
Lamium,truncatum,literature,Lamium,maculatum,KF188563.1,"(OLS) 7356",786
Marrubium,libanoticum,genus,Marrubium,crassidens,KP993196.1,"SKU:outgroup",858
Melissa,inodora,literature,Melissa,officinalis,KP172051.1,"MOSEL 267",826
Melittis,melissophyllum,extracted,Melittis,melissophyllum,HE966955.1,"MIB:ZPL:03040",757
Origanum,libanoticum,genus,Origanum,vulgare,KJ204514.1,"G00199047",811
Origanum,syriacum,extracted,Origanum,syriacum,MT679153.1,,775
Salvia,bracteata,genus,Salvia,brandegeei,KP852670.1,"JBW 3212",799
Salvia,fruticosa,extracted,Salvia,fruticosa,HQ902738.1,"SA1951",808
Salvia,glutinosa,extracted,Salvia,glutinosa,KP852689.1,"JBW 2568",793
Salvia,multicaulis,genus,Salvia,przewalskii,KC473385.1,,942
Salvia,viridis,extracted,Salvia,viridis,HQ902714.1,"SA1940",796
Salvia,viscosa,genus,Salvia,kiaometiensis,KC473352.1,,942
Scutellaria,balearica,genus,Scutellaria,minor,JN895419.1,,881
Scutellaria,brevibracteata,genus,Scutellaria,viscidula,HQ676587.1,,829
Stachys,distans,genus,Stachys,lavandulifolia,KP993194.1,"SKU:24",892
Stachys,neurocalycina,genus,Stachys,pilifera,KP993188.1,"SKU:202",892
Stachys,nivea,genus,Stachys,multicaulis,KP993186.1,"SKU:116",892
Stachys,officinalis,literature,Betonica,officinalis,HE967006.1,"MIB:ZPL:03101",757
Stachys,recta,extracted,Stachys,recta,KJ204541.1,"G00199079",839
Teucrium,asiaticum,genus,Teucrium,chamaedrys,KJ204543.1,"G00199084",837
Teucrium,cossonii,genus,Teucrium,divaricatum,HQ902741.1,"SA1919",808
Teucrium,marum,genus,Teucrium,brevifolium,HQ902727.1,"SA1812",808
Thymus,daenensis,genus,Thymus,sibthorpii,KR063649.1,"GR-0-BBGK-01,1796",1248
Thymus,eriocalyx,genus,Thymus,serpyllum,JF357823.1,"LCD 1969-19395(K)",829
Thymus,herba-barona,genus,Thymus,praecox,HE819439.1,"MIB:zpl:04826",789
Ziziphora,canescens,genus,Ziziphora,taurica,HQ902720.1,"SAVK2006",799
Fraxinus,ornus,extracted,Fraxinus,ornus,HE966932.1,"MIB:ZPL:03045",751
Ligustrum,vulgare,extracted,Ligustrum,vulgare,AM933428.1,"G. Besnard 02-2007 (G)",1221
Bartsia,trixago,literature,Bellardia,trixago,KX959183.1,"D. Pinto Carrasco, DP 918 (SALA 142076)",1036
Bellardia,latifolia,literature,Parentucellia,latifolia,JF900579.1,"M:5333",1050
Melampyrum,pratense,extracted,Melampyrum,pratense,AM503823.1,,969
Parentucellia,viscosa,extracted,Bellardia,viscosa,JF900578.1,"M:4488",1036
Pedicularis,sylvatica,extracted,Pedicularis,sylvatica,JN894577.1,,821
Rhinanthus,minor,extracted,Rhinanthus,minor,JN966492.1,"09PROBE-05519",779
Odontites,lutea,genus,Odontites,vernus,KC542171.1,"Webster 6290 (GH)",1213
Mimulus,guttatus,genus,Erythranthe,moschata,HM850971.1,"BM 2010/85",819
Anarrhinum,graniticum,literature,Antirrhinum,graniticum,JF694188.1,"213PV06",1227
Callitriche,cophocarpa,extracted,Callitriche,cophocarpa,LC176830.1,"IBIW:V.Papchenkov 06. 10 2009",884
Callitriche,hamulata,extracted,Callitriche,hamulata,LC176833.1,"MEL:646936",900
Callitriche,obtusangula,extracted,Callitriche,obtusangula,LC176847.1,"TNS:Yu Ito 1539 & al.",884
Callitriche,palustris,extracted,Callitriche,palustris,LC176863.1,"TNS:Yu Ito 1684 & al.",998
Callitriche,platycarpa,extracted,Callitriche,platycarpa,JN896071.1,,844
Callitriche,stagnalis,extracted,Callitriche,stagnalis,LC176856.1,"TNS:Norio Tanaka TD4048",994
Callitriche,xvigens,genus,Callitriche,antarctica,LC176829.1,"K:39243",998
Chaenorhinum,formenterae,genus,Chaenorhinum,macropodum,JF694187.1,"27PV08",1226
Chaenorhinum,origanifolium,extracted,Chaenorhinum,origanifolium,EU718052.1,"JG",1242
Chaenorhinum,rodriguezii,genus,Chaenorhinum,minus,KJ840891.1,"TJD-197",788
Cymbalaria,fragilis,genus,Cymbalaria,muralis,HM850958.1,"BM 2008/39",819
Digitalis,grandiflora,genus,Digitalis,purpurea,KX676795.1,"MF158",809
Digitalis,thapsi,genus,Digitalis,lanata,KJ840907.1,"TJD-176",766
Globularia,majoricensis,genus,Globularia,amygdalifolia,KP279369.1,"LISC M. Romeiras & M. Carine 1054",896
Kickxia,spuria,extracted,Kickxia,spuria,KJ204495.1,"G00199175",851
Linaria,aeruginea,extracted,Linaria,aeruginea,KF918722.1,"Janousek IPBBR 45",1047
Linaria,amethystea,genus,Linaria,viscosa,KC994586.1,"28MF09",1216
Linaria,diffusa,genus,Linaria,onubensis,KC994585.1,"E. Sanchez-Gullon s.n.",1216
Linaria,incarnata,extracted,Linaria,incarnata,JF694214.1,"39MF09",1219
Linaria,polygalifolia,genus,Linaria,gattefossei,KC994584.1,"AQ2025",1216
Linaria,saxatilis,genus,Linaria,bordiana,KC994583.1,"D.A. Sutton 248",1216
Linaria,spartea,extracted,Linaria,spartea,JF694240.1,"14MF07",1222
Linaria,supina,genus,Linaria,elegans,KC521230.1,"48MF08(9)",1246
Linaria,triornithophora,extracted,Linaria,triornithophora,JF694196.1,"18MF07",1212
Linaria,vulgaris,extracted,Linaria,vulgaris,JF694194.1,"B. Estebanez sn",1222
Liriope,graminifolia,extracted,Liriope,graminifolia,KF671570.1,"GY45",850
Liriope,platyphylla,literature,Liriope,muscari,KF671573.1,"GY37",850
Liriope,spicata,extracted,Liriope,spicata,KF671575.1,"GY59",811
Misopates,calycinum,genus,Misopates,orontium,HM850960.1,"BM 2008/96",819
Plantago,lanceolata,extracted,Plantago,lanceolata,MF159401.1,"Li ZY, Xiang XG 201507055",1113
Plantago,lanigera,genus,Plantago,rugelii,EU749330.1,"OAC:JAG092",892
Plantago,major,extracted,Plantago,major,EU749326.1,"OAC:AP293",892
Plantago,udicola,genus,Plantago,boissieri,MK228120.1,"BAHMP058250317",831
Plantago,unibracteata,genus,Plantago,depressa,GQ434076.1,"PS0101MT02",789
Sibthorpia,africana,genus,Sibthorpia,europaea,JN896239.1,,804
Pseudolysimachion,spicatum,literature,Veronica,spicata,JN894225.1,,831
Scrophularia,auriculata,extracted,Scrophularia,auriculata,JN895492.1,,841
Scrophularia,frutescens,genus,Scrophularia,lanceolata,KM212099.1,"NC2012_331",787
Scrophularia,grandiflora,genus,Scrophularia,stylosa,MH659767.1,"Q341",752
Scrophularia,herminii,genus,Scrophularia,canina,AM503830.2,,980
Scrophularia,lyrata,genus,Scrophularia,nodosa,JN896243.1,,875
Scrophularia,scorodonia,extracted,Scrophularia,scorodonia,HM850963.1,"BM 2008/709",825
Verbascum,aliciae,genus,Verbascum,kermanense,MH885331.1,"28583-TUH",893
Verbascum,cedreti,genus,Verbascum,thapsus,HQ593484.1,"AP236",875
Verbascum,levanticum,genus,Verbascum,gabrieliae,MH885333.1,"53182-TARI",866
